Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2024-06-05,3638.82961719,357039805445.9116,16.56,1372.58
2024-06-06,2879.8443084,283901504198.29614,16.6,1365.45
2024-06-07,4118.41679589,405927787991.60333,16.64,1366.38
2024-06-10,1909.01851238,185946484330.72852,17.17,1375.71
2024-06-11,4951.76980957,470908520325.73706,17.16,1375.71
2024-06-12,4441.19493837,427552646620.74664,17.4,1378.01
2024-06-13,3085.6091803,294170040889.7084,16.52,1376.11
2024-06-14,2863.76314711,270038810377.5707,16.03,1378.96
2024-06-17,4061.35751407,377155900330.012,16.71,1380.5
2024-06-18,3908.21825958,359333576096.60846,16.34,1380.88
2024-06-20,2500.0879618,230789677276.77188,16.56,1384.38
2024-06-21,3635.39281715,328889995430.68463,16.52,1388.17
2024-06-24,8767.52057092,759840665598.3813,17.02,1389.17
2024-06-25,4864.33040456,419467349978.52356,16.98,1387.16
2024-06-26,2678.90694244,232911881607.27585,16.74,1388.65
2024-06-27,2445.42593034,211465533736.80676,16.57,1385.76
2024-06-28,2661.3819785899996,229236429498.9086,16.1,1376.55
2024-07-01,2821.48915664,249832869725.56757,16.05,1383.0
2024-07-02,1998.72630474,175735267203.56757,15.88,1386.55
2024-07-03,3598.86779853,308225637307.6948,15.55,1384.85
2024-07-05,12210.32692793,970017968908.6979,16.72,1379.87
2024-07-08,6649.5225654900005,531720212786.2892,16.81,1382.73
2024-07-09,3527.57805411,286354430465.87024,16.28,1383.39
2024-07-10,3869.11728175,319063202156.32916,16.08,1383.42
2024-07-11,3792.89137042,311482004165.4551,16.12,1370.85
2024-07-12,2713.33432888,219864768952.943,16.44,1374.9
2024-07-15,6309.72498592,555601062424.9523,16.47,1382.97
2024-07-16,7903.506711120001,707615598795.3584,16.34,1384.99
2024-07-17,4960.46735508,450977108443.3428,16.53,1380.61
2024-07-18,3501.50194725,315572104043.2257,16.79,1383.85
2024-07-19,5153.99889666,470317248526.895,17.27,1389.29
2024-07-22,3718.6611218099997,350751304959.8409,18.39,1388.71
2024-07-23,3892.47501634,363109547968.80457,17.47,1385.78
2024-07-24,3789.68269255,349633571660.2152,17.42,1379.4
2024-07-25,5095.552857629999,461239940253.49567,18.77,1380.57
2024-07-26,4046.2532310300003,380060433912.05945,17.98,1383.11
2024-07-29,5506.26469247,526604802228.7162,17.51,1381.93
2024-07-30,3785.07200725,352443371472.7637,17.78,1384.98
2024-07-31,3670.11448047,337773935468.899,17.51,1369.29
2024-08-01,6135.21552332,552503634970.2152,17.12,1368.5
2024-08-02,6183.87297045,552274495287.0085,21.77,1359.38
2024-08-05,29519.79098552,2261588577153.4443,45.86,1367.68
2024-08-06,10474.42466889,836933365562.3108,43.08,1377.4
2024-08-07,6453.54883447,517585956031.3888,30.17,1374.98
2024-08-08,8579.45436023,706255616997.0872,29.02,1376.94
2024-08-09,5285.45123513,450991452834.26764,26.53,1363.71
2024-08-12,6506.95467324,539273089010.5101,24.49,1369.87
2024-08-13,3682.55847374,307921451167.3372,23.64,1367.28
2024-08-14,4522.24982867,380420864296.7826,22.1,1355.35
2024-08-15,4876.90827108,399074185768.71936,21.0,1363.21
2024-08-16,3657.47593776,298082731638.3615,19.9,1354.34
2024-08-19,3504.1911921,283892020929.93677,23.22,1334.21
2024-08-20,4082.30506242,335162204590.429,21.03,1331.78
2024-08-21,3689.75962151,301208184420.4114,21.18,1333.74
2024-08-22,2886.57588483,237862530648.24658,21.16,1343.23
2024-08-23,5135.92505418,430662113785.2899,21.28,1327.56
2024-08-26,2859.38162779,244034301849.24747,20.96,1328.53
2024-08-27,4625.93211605,382967843441.6462,19.76,1330.9
2024-08-28,5306.92086792,428994970170.1363,19.38,1335.15
2024-08-29,3413.41837394,276750744332.9483,19.8,1332.02
2024-08-30,3770.2368813699995,302874352634.0754,18.81,1336.0
2024-09-03,3668.7857059299995,292338958685.923,19.73,1339.79
2024-09-04,6212.05391712,481152648978.38544,26.04,1336.93
2024-09-05,5394.505416419999,417383473327.3612,25.5,1335.14
2024-09-06,9366.58776208,703214540356.8215,26.81,1335.68
2024-09-09,5534.04669144,416905375949.9162,25.61,1342.16
2024-09-10,5317.87337244,410051999192.0358,23.84,1343.41
2024-09-11,5787.96206399,444766557118.5173,24.06,1340.59
2024-09-12,5230.36813115,408018571764.9071,21.73,1341.35
2024-09-13,4809.38211403,378986387362.0954,21.68,1329.26
2024-09-16,5302.26688134,418908489246.0366,21.8,1320.59
2024-09-17,5844.59593596,465732038143.00586,21.92,1323.81
2024-09-18,7102.08223169,575987758974.1697,22.04,1324.15
2024-09-19,10417.572882870001,864835131247.3298,22.16,1329.08
2024-09-20,6859.87433675,579722380732.1353,21.0,1333.66
2024-09-23,3643.99248054,310276875500.94434,21.49,1334.12
2024-09-24,2654.39607419,224906175796.0303,22.26,1330.0
2024-09-25,2511.47536394,213673843837.81485,23.91,1335.1
2024-09-26,3659.51867424,312215976005.3289,25.63,1314.78
2024-09-27,3321.41300666,287725507453.52295,25.4,1309.43
2024-09-30,4211.82162048,355098516495.44653,25.44,1314.94
2024-10-01,6975.25698373,580797064736.9982,25.665,1323.78
2024-10-02,7457.1090676700005,611573078171.5122,25.89,1321.53
2024-10-03,4642.00371178,380921372747.83984,25.865000000000002,1335.58
2024-10-04,4627.877416560001,383498001049.7281,25.84,1348.74
2024-10-07,5247.82894811,446686592717.39526,25.41,1343.75
2024-10-08,4094.5023648100005,346242549105.15765,25.62,1346.49
2024-10-09,3579.25810618,300172552407.44244,24.445,1346.04
2024-10-10,4881.412901690001,402556316061.3241,23.27,1350.77
2024-10-11,5206.78349518,431194183238.59424,21.99,1350.71
2024-10-15,10020.21665908,893380696491.9061,21.24,1365.17
2024-10-16,8047.30589863,732325319903.2,21.65,1363.76
2024-10-17,5114.54655483,468498800671.45325,21.09,1371.08
2024-10-18,5993.03258895,554164959911.6058,20.75,1369.65
2024-10-21,6899.04064909,643354157428.5696,20.9,1379.14
2024-10-22,5254.6850692299995,484967789692.7318,21.7,1379.22
2024-10-23,4309.50763881,397422155271.4075,21.54,1381.61
2024-10-24,5430.41396412,504680777967.477,22.09,1382.11
2024-10-25,6157.228465120001,578878415096.8557,22.12,1389.24
2024-10-28,5813.37199652,556560550064.5914,21.92,1385.57
2024-10-29,10015.81325099,992692937358.5255,21.44,1382.2
2024-10-30,7532.30766587,756451251812.5077,21.55,1378.41
