Date,Unique Addresses,Number of Transactions,Hash Rate (TH/s),Total Bitcoins in Circulation,Output Volume (BTC),Search Interest
2024-05-13,466123.0,554780.0,607599091.8904481,19697778.125,772143.4784021802,31.596032129855566
2024-05-14,458041.0,422043.0,562132493.1775575,19698296.875,693098.2529934052,30.56009665018817
2024-05-15,516619.0,493012.0,582799128.9561441,19698815.625,837756.1477849804,34.703838568857755
2024-05-16,494221.0,476659.0,586932456.1118613,19699081.25,884191.8645504088,34.703838568857755
2024-05-17,514199.0,573492.0,640665709.1361867,19699346.875,833209.9909068157,34.185870829024054
2024-05-20,482108.0,626995.0,644799036.2919042,19700921.875,806174.3340875941,35.22180630869145
2024-05-21,508542.0,545041.0,570399147.4889922,19701443.75,983217.5757719928,43.509290146030615
2024-05-22,491272.0,583279.0,632399054.8247522,19701978.125,766462.853981051,36.77570952819254
2024-05-23,533345.0,744761.0,706194547.0096976,19702500.0,650563.4271773113,35.73977404852515
2024-05-24,483309.0,736439.0,671140034.7624127,19703025.0,641425.4503193916,32.63196760952296
2024-05-28,448181.0,596790.0,562079779.1135205,19704590.625,1030833.9823394106,31.596032129855566
2024-05-29,449070.0,725428.0,574663654.7653158,19705109.375,717712.5177684043,30.56009665018817
2024-05-30,499634.0,510417.0,515938901.7236049,19705631.25,714630.5404810873,29.006193430687077
2024-05-31,528690.0,701471.0,620804532.1552316,19706150.0,850516.0998206746,27.970257951019683
2024-06-03,482689.0,769224.0,658556159.1106174,19707187.5,908664.9577310736,29.524161170520774
2024-06-04,492874.0,627980.0,562079779.1135205,19707706.25,856833.8320920762,31.07806439002187
2024-06-05,460473.0,562049.0,515938901.7236049,19708228.125,998685.739414939,35.73977404852515
2024-06-06,476121.0,613472.0,554910858.050012,19708746.875,775250.5133083627,32.63196760952296
2024-06-07,468301.0,263982.0,590944002.9609013,19709525.0,680416.2605223764,33.14993534935666
2024-06-10,473053.0,658037.0,578459270.5039809,19710303.125,679422.5458353678,29.524161170520774
2024-06-11,485989.0,463737.0,511874030.7337383,19710821.875,827148.9417821423,33.66790308919036
2024-06-12,483313.0,690560.0,607590312.9034619,19711340.625,674759.9275755116,31.596032129855566
2024-06-13,469602.0,731254.0,603428735.4178218,19711862.5,580183.9919652672,29.524161170520774
2024-06-14,475827.0,604349.0,532681918.1619392,19712643.75,729399.2524299124,30.56009665018817
2024-06-17,433551.0,441215.0,582620847.9896209,19713425.0,758472.3915369599,29.524161170520774
2024-06-18,484883.0,617202.0,632559777.8173028,19713946.875,821008.8260452361,32.113999869689266
2024-06-20,465205.0,532756.0,553323137.1046984,19714990.625,628069.2379212937,28.48822569085338
2024-06-21,514658.0,592843.0,582332779.002438,19715773.4375,690343.1010582402,27.970257951019683
2024-06-24,456565.0,528326.0,632247017.2026471,19716556.25,925990.5733968756,37.81164500785994
2024-06-25,441214.0,536347.0,515780461.4021594,19717078.125,623516.001908275,33.14993534935666
2024-06-26,476277.0,490817.0,503301901.8521072,19717343.75,715028.2460590538,27.970257951019683
2024-06-27,501018.0,414624.0,540737580.5022639,19717609.375,1233709.8578172876,27.452290211185986
2024-06-28,562499.0,593984.0,561535179.7523509,19718134.375,769974.2814501364,27.452290211185986
2024-07-01,650451.0,611062.0,586492298.8524554,19718915.625,664824.9094207407,29.006193430687077
2024-07-02,511492.0,592285.0,615608937.8025774,19719696.875,634181.7302529368,25.380419251851194
2024-07-03,503996.0,545044.0,603130378.2525251,19720215.625,737649.903165091,29.006193430687077
2024-07-05,510689.0,490537.0,481691507.2021622,19721259.375,985468.7603002188,44.027257885864316
2024-07-08,534832.0,593010.0,628324687.409103,19722834.375,935000.1551629842,36.25774178835885
2024-07-09,499299.0,654037.0,608566049.4402633,19723353.125,824292.2881126952,31.07806439002187
2024-07-10,460604.0,631745.0,537434952.7524403,19723612.5,844390.2236383794,30.56009665018817
2024-07-11,487442.0,642066.0,553241863.127512,19723871.875,797491.7239768648,33.66790308919036
2024-07-12,486027.0,658355.0,592759139.0651915,19724393.75,737689.7545291341,32.113999869689266
2024-07-15,482490.0,552901.0,604614321.8464954,19725959.375,949798.7348089383,35.73977404852515
2024-07-16,492843.0,529056.0,580903956.2838876,19726478.125,1134659.5369925136,39.36554822736103
2024-07-17,476281.0,615870.0,628324687.409103,19727000.0,829500.0765502488,33.66790308919036
2024-07-18,481360.0,445574.0,515102118.2359712,19727518.75,533194.4690520968,33.66790308919036
2024-07-19,510414.0,507940.0,599556361.5235602,19728301.5625,771739.4505843178,36.25774178835885
2024-07-22,504554.0,824999.0,730072032.0593011,19729084.375,815937.4946262932,35.73977404852515
2024-07-23,480641.0,838977.0,689285885.0168821,19729615.625,973410.9132304032,36.25774178835885
