Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2024-04-30,8928.5086383,787771796980.5172,18.14,1385.38
2024-05-01,18231.75267088,1505832116320.952,18.14,1377.25
2024-05-02,7668.52109729,633778486612.4524,17.88,1366.75
2024-05-03,9840.54241871,850134383278.9028,17.51,1354.63
2024-05-06,5018.446220039999,450898515369.562,0.0,1354.91
2024-05-07,3888.38102486,346743474210.53503,17.21,1358.79
2024-05-08,4810.118624369999,419643684037.19385,16.46,1364.39
2024-05-09,4206.48778846,363022808209.2335,16.49,1365.09
2024-05-10,4493.2130432,388673686531.6552,16.29,1369.65
2024-05-13,3995.6257212,349039229559.72064,16.6,1366.11
2024-05-14,3618.28164024,313790685696.0344,16.73,1364.79
2024-05-15,6621.47698804,595715709148.1116,0.0,1352.96
2024-05-16,4995.98233205,456995035884.8264,15.98,1348.49
2024-05-17,3851.86115573,354671987081.8043,15.98,1351.76
2024-05-20,5048.92931285,475864080845.5349,15.95,1359.97
2024-05-21,6499.41356373,629956403897.9282,15.85,1363.0
2024-05-22,3637.5832315,349307679034.001,15.71,1364.73
2024-05-23,5279.92610162,500633164467.1652,15.22,1367.34
2024-05-24,3463.1123833,327533712428.88995,15.43,1365.93
2024-05-28,4217.163793199999,398632639373.6044,15.07,1362.42
2024-05-29,3101.59278464,291921038414.98425,15.66,1370.08
2024-05-30,3449.01663451,326691553350.4369,16.82,1374.74
2024-05-31,2800.36929915,265273102979.61276,16.9,1381.68
2024-06-03,3494.02812138,335914410547.4788,16.69,1370.36
2024-06-04,3301.81186726,319408556363.9242,16.64,1372.93
2024-06-05,3638.82961719,357264846168.4513,16.56,1368.48
2024-06-06,2879.8443084,284196166819.7632,0.0,1363.71
2024-06-07,4118.41679589,406232060338.4543,16.64,1378.8
2024-06-10,1909.01851238,185875457961.61972,17.17,1373.6
2024-06-11,4951.76980957,469860663359.1339,17.16,1377.5
2024-06-12,4441.19493837,429941948435.58167,17.4,1369.84
2024-06-13,3085.6091803,293557182078.8355,16.52,1375.35
2024-06-14,2863.76314711,270248060115.34372,16.03,1381.84
2024-06-17,4061.35751407,376444586475.2623,16.71,1378.46
2024-06-18,3908.21825958,358415686535.05225,16.34,1378.64
2024-06-20,2500.0879618,230565239322.8251,16.56,1391.93
2024-06-21,3635.39281715,328815439424.904,16.52,1387.01
2024-06-24,8767.52057092,757977951364.7661,17.02,1386.37
2024-06-25,4864.33040456,421704936344.6331,16.98,1390.44
2024-06-26,2678.90694244,232805318603.3351,16.74,1392.9
2024-06-27,2445.42593034,211764396453.90533,16.57,1386.35
2024-06-28,2661.38197859,228743200001.49756,16.1,1380.73
