Date,Unique Addresses,Number of Transactions,Hash Rate (TH/s),Total Bitcoins in Circulation,Output Volume (BTC),Search Interest
2024-09-11,485718,411402,495458846.6,19752512.5,1247406.496,27
2024-09-12,543579,563521,700222814.6,19753065.63,1056147.749,28
2024-09-13,541521,419047,566627672.3,19753621.88,1159566.176,28
2024-09-16,508716,504540,575841130.4,19754731.25,936148.3291,27
2024-09-17,512792,539113,691009356.5,19755290.63,847849.255,26
2024-09-18,503606,541476,635728608.0,19755853.13,824060.4773,20
2024-09-19,534707,455707,562020943.3,19755853.13,878617.9182,23
2024-09-20,555435,526390,667975711.3,19756409.38,980010.4799,21
2024-09-23,518528,580102,672582440.3,19758068.75,752214.351,19
2024-09-24,517079,532220,667975711.3,19758068.75,835934.2251,18
2024-09-25,513256,503460,657005311.3,19758634.38,816864.2505,19
2024-09-26,515965,474766,571298868.2,19759187.5,841504.902,20
2024-09-27,549045,451723,602061114.9,19759768.75,807629.0528,21
2024-09-30,513555,594224,602061114.9,19760878.13,986218.9624,19
2024-10-01,626337,632894,689953248.5,19761434.38,901439.0871,20
2024-10-02,504061,590981,681164035.1,19761990.63,793759.0978,19
2024-10-03,522348,582777,694347855.2,19762550.0,885924.1693,18
2024-10-04,553982,561425,742688528.6,19763112.5,803081.1072,18
2024-10-07,495630,717700,681164035.1,19764228.13,999221.2515,18
2024-10-08,556194,719458,733899315.3,19764784.38,1068668.007,18
2024-10-09,479175,536887,574966972.3,19765337.5,812270.1904,20
2024-10-10,495077,746211,709250575.5,19765890.63,642151.5196,19
2024-10-11,474119,633252,640613423.0,19765890.63,639706.0537,19
2024-10-15,510964,646891,713826385.6,19768103.13,836341.9014,18
2024-10-16,465015,708342,645189233.2,19768103.13,701874.9673,19
2024-10-17,529901,653027,718402195.8,19768656.25,592975.5384,17
2024-10-18,519056,474279,622310182.3,19769215.63,657453.9189,19
2024-10-21,482337,835011,782463538.1,19770884.38,660253.1279,19
2024-10-22,479204,700174,638125714.3,19771437.5,672533.2846,18
2024-10-23,496062,665187,718143298.3,19771990.63,531297.6087,17
2024-10-24,453818,681834,699119634.7,19772543.75,582509.7415,17
2024-10-25,585659,524014,727655130.0,19772543.75,580385.0657,19
2024-10-28,535356,702824,798993868.3,19774215.63,642718.496,20
2024-10-29,580911,614981,746678793.6,19774771.88,969730.0143,34
2024-10-30,553379,682099,803749784.2,19775325.0,914431.5388,26
2024-10-31,562550,562237,751434709.5,19775878.13,841843.8252,23
2024-11-01,556938,547888,727655130.0,19776437.5,778325.6281,22
2024-11-04,518020,456826,720519107.3,19777553.13,650259.0942,20
2024-11-05,548496,465286,702351988.7,19778106.25,733010.1057,20
2024-11-06,622567,501641,773092476.8,19778662.5,1268937.223,78
2024-11-07,583392,553047,788251152.8,19779218.75,902154.5586,45
2024-11-08,591256,497146,717510664.7,19779218.75,953404.9382,37
2024-11-12,702614,503677,737722232.7,19780890.63,1383872.631,86
2024-11-13,636591,570979,697299096.7,19781450.0,1222908.306,82
2024-11-14,587387,503566,641717284.6,19782003.13,1058121.422,67
2024-11-15,619496,562223,757933800.7,19782559.38,928123.0809,49
2024-11-18,569926,673308,789177471.5,19783665.63,888920.8559,43
2024-11-19,547133,810805,889845955.1,19784218.75,943414.4744,43
2024-11-20,557265,664866,747470602.3,19784775.0,1010374.761,48
2024-11-21,666198,498512,732216100.2,19785328.13,1437644.972,72
2024-11-22,628962,540305,727131266.2,19785881.25,1074499.481,77
2024-11-25,593158,604870,859336950.9,19786990.63,1011844.185,51
2024-11-26,568082,475689,706791930.1,19787546.88,966685.7978,51
2024-11-27,599701,462119,676282925.9,19788100.0,773633.5861,43
2024-11-29,551876,341781,615264917.5,19788656.25,704573.0521,38
2024-12-02,578842,311811,649582756.2,19790325.0,924341.149,39
2024-12-03,613585,439519,811042070.6,19790878.13,845685.3929,37
2024-12-04,606514,502912,759383340.0,19791434.38,855006.8287,38
2024-12-05,676971,512490,800710324.5,19791434.38,1458064.469,100
2024-12-06,589966,414643,702558736.3,19791987.5,1058922.315,59
2024-12-09,548218,403264,862700801.2,19793653.13,965813.9333,42
2024-12-10,637676,441944,795544451.4,19794209.38,839573.4783,45
2024-12-11,617471,481168,733553974.7,19794209.38,858938.2981,41
2024-12-12,642365,474978,764549213.1,19794768.75,733417.2017,41
2024-12-13,622796,523585,878198420.4,19795321.88,738903.0207,34
2024-12-16,628257,412747,796354777.9,19796984.38,944149.5981,51
2024-12-17,587955,419707,733677850.1,19797537.5,899983.4775,91
2024-12-18,583495,414366,776835370.7,19797537.5,863124.9378,83
2024-12-19,634202,437574,782230060.8,19798093.75,941187.67,92
2024-12-20,640920,398670,814598201.3,19798656.25,970347.5694,100
2024-12-23,528563,292681,749861920.4,19799775.0,949013.5962,76
2024-12-24,543738,326570,712099089.8,19800331.25,657352.182,74
2024-12-26,488028,298916,706704399.8,19801443.75,603281.5562,75
2024-12-27,568492,348241,852361031.8,19802000.0,649887.8517,66
2024-12-30,546526,374721,867710156.0,19803109.38,871546.388,66
2024-12-31,545227,312513,703991258.6,19803662.5,828260.9477,62
2025-01-02,536381,402440,911368528.6,19804768.75,634979.2361,58
2025-01-03,580296,409341,774936114.2,19805321.88,674687.3423,54
2025-01-06,552854,366260,725820444.9,19806434.38,737125.5617,58
2025-01-07,534903,352121,731277741.5,19806993.75,808630.9693,62
2025-01-08,545474,399976,682162072.3,19806993.75,784665.2639,57
2025-01-09,551517,534013,829509079.9,19807550.0,750688.5841,57
2025-01-10,555569,408769,774936114.2,19808103.13,916240.9915,54
2025-01-13,527739,408248,702796044.4,19809765.63,641005.6303,55
2025-01-14,555702,352684,845551490.9,19809765.63,775592.4833,50
2025-01-15,562243,354014,763192579.4,19810325.0,852579.1753,56
2025-01-16,552617,375439,702796044.4,19810878.13,902568.8484,53
2025-01-17,609681,425661,823589114.5,19811431.25,928946.3054,65
2025-01-21,576234,324412,730249014.9,19813096.88,875424.5793,76
2025-01-22,563550,432369,823589114.5,19813650.0,794429.9219,60
2025-01-23,559393,326010,746720797.2,19814206.25,853792.9981,67
2025-01-24,555324,369243,768683173.5,19814206.25,704594.1044,61
2025-01-27,536813,332102,841602268.6,19815871.88,688610.6451,70
2025-01-28,526610,305953,795344639.2,19816440.63,535465.0217,56
2025-01-29,536882,355332,832962291.1,19816440.63,674853.8129,50
2025-01-30,563297,335134,779222788.4,19816996.88,640502.2748,51
2025-01-31,573440,328684,671743783.1,19817550.0,695031.4466,47
2025-02-03,594369,360484,822214390.5,19819212.5,876169.4757,79
2025-02-04,533329,308619,703987484.7,19819765.63,733042.3244,60
2025-02-05,549668,381126,773848838.1,19819765.63,703165.8662,52
2025-02-06,556046,428326,779222788.4,19820318.75,621613.1046,48
2025-02-07,547121,498394,929693395.8,19820875.0,540986.5617,47
2025-02-10,506614,359522,788864727.6,19822565.63,577459.3863,41
2025-02-11,527971,337513,703735440.5,19822565.63,596692.0504,40
2025-02-12,524479,386539,754813012.8,19823121.88,571134.6489,41
2025-02-13,554664,379906,896695158.0,19823678.13,599946.5143,39
2025-02-14,555378,346002,862643443.1,19824231.25,626832.5289,38
2025-02-18,505135,422709,794540013.4,19825896.88,602417.8035,43
2025-02-19,504104,448569,715086012.1,19826450.0,646574.3941,37
2025-02-20,528372,480465,737787155.3,19827003.13,712996.3414,38
2025-02-21,539520,459909,732111869.5,19827003.13,776218.8796,42
2025-02-24,502390,514086,714530229.8,19828662.5,797420.0606,39
2025-02-25,593036,497063,807968798.4,19828662.5,1342314.488,78
2025-02-26,551544,403575,862932662.2,19829218.75,1304559.68,67
2025-02-27,559897,325162,824457957.5,19829771.88,978750.8724,60
