date,value
2024-02-01,27
2024-02-02,26
2024-02-03,24
2024-02-04,24
2024-02-05,25
2024-02-06,25
2024-02-07,25
2024-02-08,30
2024-02-09,37
2024-02-10,31
2024-02-11,31
2024-02-12,41
2024-02-13,44
2024-02-14,47
2024-02-15,47
2024-02-16,39
2024-02-17,33
2024-02-18,33
2024-02-19,35
2024-02-20,34
2024-02-21,33
2024-02-22,32
2024-02-23,31
2024-02-24,28
2024-02-25,28
2024-02-26,37
2024-02-27,62
2024-02-28,96
2024-02-29,85
2024-03-01,63
2024-03-02,52
2024-03-03,47
2024-03-04,86
2024-03-05,100
2024-03-06,78
2024-03-07,64
2024-03-08,64
2024-03-09,55
2024-03-10,55
2024-03-11,83
2024-03-12,71
2024-03-13,69
2024-03-14,63
2024-03-15,70
2024-03-16,51
2024-03-17,53
2024-03-18,52
2024-03-19,66
2024-03-20,62
2024-03-21,53
2024-03-22,47
2024-03-23,41
2024-03-24,42
2024-03-25,51
2024-03-26,51
2024-03-27,48
2024-03-28,45
2024-03-29,46
2024-03-30,38
2024-03-31,40
2024-04-01,43
2024-04-02,52
2024-04-03,44
2024-04-04,43
2024-04-05,41
2024-04-06,34
2024-04-07,36
2024-04-08,47
2024-04-09,42
2024-04-10,41
2024-04-11,43
2024-04-12,46
2024-04-13,52
2024-04-14,57
2024-04-15,54
2024-04-16,51
2024-04-17,51
2024-04-18,56
2024-04-19,82
2024-04-20,73
2024-04-21,43
2024-04-22,45
2024-04-23,39
2024-04-24,39
2024-04-25,37
2024-04-26,33
2024-04-27,31
2024-04-28,31
2024-04-29,33
2024-04-30,38
2024-05-01,100
2024-05-02,80
2024-05-03,75
2024-05-04,67
2024-05-05,63
2024-05-06,70
2024-05-07,65
2024-05-08,63
2024-05-09,59
2024-05-10,62
2024-05-11,58
2024-05-12,54
2024-05-13,63
2024-05-14,60
2024-05-15,64
2024-05-16,68
2024-05-17,66
2024-05-18,60
2024-05-19,56
2024-05-20,72
2024-05-21,81
2024-05-22,72
2024-05-23,68
2024-05-24,66
2024-05-25,53
2024-05-26,56
2024-05-27,61
2024-05-28,62
2024-05-29,61
2024-05-30,61
2024-05-31,55
2024-06-01,48
2024-06-02,49
2024-06-03,58
2024-06-04,60
2024-06-05,70
2024-06-06,64
2024-06-07,67
2024-06-08,58
2024-06-09,52
2024-06-10,56
2024-06-11,65
2024-06-12,65
2024-06-13,61
2024-06-14,58
2024-06-15,50
2024-06-16,52
2024-06-17,57
2024-06-18,63
2024-06-19,56
2024-06-20,55
2024-06-21,54
2024-06-22,46
2024-06-23,47
2024-06-24,74
2024-06-25,64
2024-06-26,57
2024-06-27,54
2024-06-28,52
2024-06-29,45
2024-06-30,47
2024-07-01,53
2024-07-02,53
2024-07-03,57
2024-07-04,73
2024-07-05,90
2024-07-06,59
2024-07-07,59
2024-07-08,70
2024-07-09,61
2024-07-10,60
2024-07-11,70
2024-07-12,64
2024-07-13,54
