date,value
2024-06-07,46
2024-06-08,36
2024-06-09,35
2024-06-10,40
2024-06-11,47
2024-06-12,44
2024-06-13,40
2024-06-14,42
2024-06-15,38
2024-06-16,41
2024-06-17,68
2024-06-18,92
2024-06-19,46
2024-06-20,46
2024-06-21,40
2024-06-22,37
2024-06-23,30
2024-06-24,61
2024-06-25,48
2024-06-26,40
2024-06-27,48
2024-06-28,41
2024-06-29,35
2024-06-30,44
2024-07-01,38
2024-07-02,36
2024-07-03,44
2024-07-04,71
2024-07-05,94
2024-07-06,50
2024-07-07,45
2024-07-08,62
2024-07-09,49
2024-07-10,51
2024-07-11,51
2024-07-12,37
2024-07-13,37
2024-07-14,51
2024-07-15,65
2024-07-16,60
2024-07-17,51
2024-07-18,51
2024-07-19,47
2024-07-20,54
2024-07-21,49
2024-07-22,55
2024-07-23,46
2024-07-24,50
2024-07-25,54
2024-07-26,48
2024-07-27,56
2024-07-28,59
2024-07-29,67
2024-07-30,51
2024-07-31,45
2024-08-01,27
2024-08-02,26
2024-08-03,29
2024-08-04,36
2024-08-05,100
2024-08-06,42
2024-08-07,33
2024-08-08,31
2024-08-09,27
2024-08-10,25
2024-08-11,30
2024-08-12,32
2024-08-13,26
2024-08-14,23
2024-08-15,27
2024-08-16,29
2024-08-17,20
2024-08-18,21
2024-08-19,28
2024-08-20,27
2024-08-21,22
2024-08-22,23
2024-08-23,23
2024-08-24,22
2024-08-25,24
2024-08-26,21
2024-08-27,28
2024-08-28,28
2024-08-29,24
2024-08-30,25
2024-08-31,19
2024-09-01,22
2024-09-02,20
2024-09-03,26
2024-09-04,26
2024-09-05,26
2024-09-06,27
2024-09-07,25
2024-09-08,25
2024-09-09,24
2024-09-10,24
2024-09-11,26
2024-09-12,22
2024-09-13,23
2024-09-14,20
2024-09-15,19
2024-09-16,24
2024-09-17,25
2024-09-18,27
2024-09-19,32
2024-09-20,30
2024-09-21,22
2024-09-22,23
2024-09-23,26
2024-09-24,23
2024-09-25,23
2024-09-26,25
2024-09-27,26
2024-09-28,23
2024-09-29,22
2024-09-30,27
2024-10-01,29
2024-10-02,22
2024-10-03,23
2024-10-04,22
2024-10-05,19
2024-10-06,20
