Date,etf_premium,Log Return,Kimchi Premium
2025-02-21,-0.003327172,0.017317735,0.040554184
2025-02-24,-0.003172826,-0.003171912,0.015973745
2025-02-25,-0.001596488,-0.050448051,0.014103483
2025-02-26,0.00947169,-0.031901006,0.025992854
2025-02-27,0.002116402,-0.052664209,0.011499786
2025-02-28,0.002721373,0.006282968,0.004590581
2025-03-03,0.003488611,0.091370521,0.048439047
2025-03-04,-0.012989608,-0.090711395,0.016092378
2025-03-05,0.004295197,0.013209032,0.025327851
2025-03-06,0.00118624,0.038041877,0.027627029
2025-03-07,-0.00762899,-0.007626968,0.03940758
2025-03-10,0.006499328,-0.065885431,0.028219701
2025-03-11,-0.000634652,-0.026524564,0.014032722
2025-03-12,0.002125399,0.053310589,0.014931531
2025-03-13,-0.005027322,0.010138833,0.022333747
2025-03-14,0.000415628,-0.03190064,0.014901149
2025-03-17,0.00062461,-0.021061701,0.009648828
2025-03-18,0.004290925,0.017509736,0.009611054
2025-03-19,0.00144211,-0.015857107,-0.002524326
2025-03-20,0.000627353,0.048942338,0.012868402
2025-03-21,-0.000419111,-0.031495479,0.011659531
2025-03-24,-0.000199243,0.026421835,0.005414198
2025-03-25,0.001998401,0.016734391,0.009522347
2025-03-26,0.002854812,-0.000390435,0.00715229
2025-03-27,-0.003024803,-0.006515942,0.007676878
2025-03-28,0.0,0.003225257,0.012263339
2025-03-31,-0.007421544,-0.003321609,0.016242838
2025-04-01,-0.000413907,0.002340764,0.008019975
2025-04-02,0.006313646,0.031655786,0.02376089
2025-04-03,-0.000858185,-0.032187605,0.014512722
2025-04-04,-0.00167399,0.007434538,0.00594318
2025-04-07,-0.006061967,-0.063379994,0.013139852
2025-04-08,-0.000229358,0.010362571,0.017758159
2025-04-09,0.002139953,-0.037597141,0.003898491
2025-04-10,-0.000442576,0.079480018,0.027673264
2025-04-11,0.001260239,-0.036854033,0.021418674
2025-04-14,-0.000620989,-0.018623085,0.023810587
2025-04-15,-0.000628009,0.010025466,0.027760906
2025-04-16,0.003767267,-0.010960203,0.027718684
2025-04-17,0.001452584,0.004796117,0.016183383
2025-04-18,0.001452584,0.010436512,0.017681975
2025-04-21,0.003430878,0.000963332,0.014880725
2025-04-22,0.001345895,0.027218504,-0.004744303
2025-04-23,0.002449595,0.065770121,0.001734908
2025-04-24,0.002258186,0.002522261,-0.000495704
2025-04-25,0.003327787,0.002792635,0.004040683
2025-04-28,0.001114827,-0.009321525,0.000836065
2025-04-29,0.00073828,0.012883085,0.011188729
2025-04-30,0.002059925,-0.007642113,0.012223035
2025-05-01,0.000910747,-0.000727605,0.004450673
2025-05-02,0.000906783,0.024130013,0.023547881
2025-05-05,-0.002418155,-0.016648353,0.032529676
2025-05-06,-0.000740604,0.004394309,0.025063112
2025-05-07,-0.000182849,0.02182944,0.013724806
2025-05-08,0.002086957,0.002312483,-0.009780437
2025-05-09,0.001194743,0.061744776,0.001955342
2025-05-12,0.000691563,-0.006082243,-0.006255834
2025-05-13,0.00336587,-0.012599911,-0.011712015
2025-05-14,-0.001190274,0.012827675,-0.001611586
2025-05-15,0.002391936,-0.005801363,0.00412231
2025-05-16,0.003900288,0.001979359,0.011136233
2025-05-19,0.004016736,0.031171519,0.011891156
2025-05-20,0.008610697,-0.007570627,0.005570467
2025-05-21,0.010796663,0.011144883,0.009292071
2025-05-22,-0.002366677,0.026447478,0.001364597
2025-05-23,-0.000969462,0.018555353,0.026951381
