Date,Output Volume (BTC)
2024-10-25,580385.0656825635
2024-10-26,355906.59260564833
2024-10-27,313396.9887960386
2024-10-28,642718.4959970043
2024-10-29,969730.0143010134
2024-10-30,914431.5387501168
2024-10-31,841843.8252213715
2024-11-01,778325.6280858238
2024-11-02,319668.8147897112
2024-11-03,347603.3903928736
2024-11-04,650259.0941658515
2024-11-05,733010.1056977672
2024-11-06,1268937.2231146363
2024-11-07,902154.5585619959
2024-11-08,953404.9382482735
2024-11-09,551065.6475042306
2024-11-10,808961.3998951652
2024-11-11,1204667.9662189197
2024-11-12,1383872.6307425715
2024-11-13,1222908.3063392444
2024-11-14,1058121.4224924846
2024-11-15,928123.0808657724
2024-11-16,524803.1979336018
2024-11-17,444772.3042972665
2024-11-18,888920.8559166278
2024-11-19,943414.4744099809
2024-11-20,1010374.7606940701
2024-11-21,1437644.971725258
2024-11-22,1074499.480550723
2024-11-23,719698.6201790483
2024-11-24,566408.752652852
2024-11-25,1011844.1848499022
2024-11-26,966685.7978009495
2024-11-27,773633.5860690508
2024-11-28,594620.3070454241
2024-11-29,704573.052100606
2024-11-30,472061.8239517715
2024-12-01,414649.08199370245
2024-12-02,924341.1490483155
2024-12-03,845685.3929371192
2024-12-04,855006.8286922212
2024-12-05,1458064.4692313098
2024-12-06,1058922.3147943672
2024-12-07,456357.3420020911
2024-12-08,443074.68324366916
2024-12-09,965813.9332878763
2024-12-10,839573.4783076796
2024-12-11,858938.2981387884
2024-12-12,733417.2016895034
2024-12-13,738903.0206815624
2024-12-14,430661.4198166562
2024-12-15,435592.1611988488
2024-12-16,944149.5981226347
2024-12-17,899983.4775437801
2024-12-18,863124.9377957653
2024-12-19,941187.6699843898
2024-12-20,970347.5694393679
2024-12-21,451465.4607173367
2024-12-22,367541.5435169301
2024-12-23,949013.5962306653
2024-12-24,657352.1819701063
2024-12-25,455890.1027724574
2024-12-26,603281.5561685289
2024-12-27,649887.8516713751
2024-12-28,383372.64210882597
2024-12-29,584727.764962693
2024-12-30,871546.387972725
2024-12-31,828260.9477125912
2025-01-01,539953.5324479822
2025-01-02,634979.2361194293
2025-01-03,674687.3423459273
2025-01-04,474874.7069852138
2025-01-05,450109.2146893607
2025-01-06,737125.5617071895
2025-01-07,808630.969284022
2025-01-08,784665.2639107796
2025-01-09,750688.58405636
2025-01-10,916240.991515866
2025-01-11,429441.32740336057
2025-01-12,465857.3967394976
2025-01-13,641005.6302590541
2025-01-14,775592.483289918
2025-01-15,852579.1752953441
2025-01-16,902568.8484161457
2025-01-17,928946.3054353991
2025-01-18,767454.691547205
2025-01-19,720719.9783304674
2025-01-20,961130.4865877557
2025-01-21,875424.5793068056
2025-01-22,794429.9219138741
2025-01-23,853792.9981274175
2025-01-24,704594.1043631484
2025-01-25,436039.01003608626
2025-01-26,403647.2487364654
2025-01-27,688610.6450814432
2025-01-28,535465.0216653026
2025-01-29,674853.8129454331
2025-01-30,640502.2747973717
2025-01-31,695031.4465801892
2025-02-01,414956.73764870205
2025-02-02,536778.8400299399
2025-02-03,876169.4756701029
2025-02-04,733042.3244044902
2025-02-05,703165.866151592
2025-02-06,621613.1045917249
2025-02-07,540986.5617418498
2025-02-08,381304.205580459
2025-02-09,384656.90010658256
2025-02-10,577459.3863082707
2025-02-11,596692.0503578433
2025-02-12,571134.6488628598
2025-02-13,599946.5143420058
2025-02-14,626832.528904628
2025-02-15,518154.848237537
2025-02-16,472096.56860169856
2025-02-17,545508.6074177873
2025-02-18,602417.8034707359
2025-02-19,646574.3940608707
2025-02-20,712996.3413949646
2025-02-21,776218.8796220354
2025-02-22,710616.2259962864
2025-02-23,514513.2262420151
2025-02-24,797420.0605861305
2025-02-25,1342314.4878907008
2025-02-26,1304559.6801679595
2025-02-27,978750.8724108649
2025-02-28,959889.5216381621
2025-03-01,586861.1102651588
2025-03-02,689940.9401719305
2025-03-03,918110.1340647177
2025-03-04,716490.7653132618
2025-03-05,637121.1964791361
2025-03-06,745382.9592287063
2025-03-07,794877.2781499162
2025-03-08,468139.46895801846
2025-03-09,516664.1934521764
2025-03-10,793936.4406689026
2025-03-11,839354.3377643365
2025-03-12,728907.7670192188
2025-03-13,622082.5265915043
2025-03-14,558307.4949914808
2025-03-15,404904.2709149956
2025-03-16,427833.4585938498
2025-03-17,565930.725139535
2025-03-18,573466.2977525638
2025-03-19,557514.7272005888
2025-03-20,594456.2227735356
2025-03-21,503425.7124816587
2025-03-22,329192.8230417305
2025-03-23,320723.80732360133
2025-03-24,550865.5085339503
2025-03-25,606946.8047962261
2025-03-26,584772.3104568687
2025-03-27,557973.8304889845
2025-03-28,688099.5094018162
2025-03-29,442272.53043024807
2025-03-30,399659.7425680387
2025-03-31,710598.7531346937
2025-04-01,572955.3409079915
2025-04-02,604393.7166311253
2025-04-03,669511.8752732129
2025-04-04,585001.7853769639
2025-04-05,361328.6529885604
2025-04-06,439315.96113355446
2025-04-07,792091.204218502
2025-04-08,611653.2591485381
2025-04-09,790622.8431756304
2025-04-10,681608.0396443136
2025-04-11,668781.4973677787
2025-04-12,428871.8732050299
2025-04-13,418150.5887978018
2025-04-14,536097.8877530411
2025-04-15,669078.3395093724
2025-04-16,536376.136132394
2025-04-17,745056.250151734
2025-04-18,532546.999969825
2025-04-19,381149.31094134436
2025-04-20,339658.2363766377
2025-04-21,589521.3540403852
2025-04-22,757426.9810193535
2025-04-23,961186.401919533
2025-04-24,754817.8051796644
2025-04-25,775016.1736633416
2025-04-26,374314.36002304853
2025-04-27,397452.93836994446
2025-04-28,702041.0722047687
2025-04-29,723115.9187372631
2025-04-30,661001.8623985085
2025-05-01,771855.5763600261
2025-05-02,765642.3131637236
2025-05-03,508068.82781151176
2025-05-04,494688.49483848276
2025-05-05,815056.4046041573
2025-05-06,734327.5573693127
2025-05-07,740016.233072401
2025-05-08,739797.9218478217
2025-05-09,841081.9863683009
2025-05-10,478471.03779224114
2025-05-11,490327.5020273597
2025-05-12,693884.7082989878
2025-05-13,754872.7891448047
2025-05-14,715424.2059721074
2025-05-15,757969.3030447084
2025-05-16,635205.4907823753
2025-05-17,376416.8388136708
2025-05-18,400728.79546783946
2025-05-19,648502.7812014524
2025-05-20,705432.5311724665
2025-05-21,838198.9085360512
2025-05-22,1035240.0950010672
2025-05-23,824826.2545425309
2025-05-24,456746.41002257494
2025-05-25,430580.8732530959
2025-05-26,560222.5953222772
2025-05-27,628902.9823142351
2025-05-28,722724.0451447681
2025-05-29,598103.0205054352
2025-05-30,706212.2701788045
2025-05-31,417260.7204844623
2025-06-01,449652.76830637694
