Date,Hash Rate (TH/s)
2023-01-24,241053474.68621597
2023-01-25,327010527.67509925
2023-01-26,289637895.9408021
2023-01-27,287769264.3540873
2023-01-28,313930106.5680952
2023-01-29,311001352.7915209
2023-01-30,269948142.5149194
2023-01-31,224956785.42909947
2023-02-01,267991996.55466637
2023-02-02,283641164.23669064
2023-02-03,260167412.7136542
2023-02-04,266035850.5944133
2023-02-05,297334185.95846194
2023-02-06,289509602.11744976
2023-02-07,277772726.3559315
2023-02-08,269948142.5149194
2023-02-09,316895645.5609923
2023-02-10,287553456.1571967
2023-02-11,291465748.0777028
2023-02-12,313943411.7760057
2023-02-13,303650131.9290037
2023-02-14,299757181.5196575
2023-02-15,317275458.3617154
2023-02-16,348419061.63648504
2023-02-17,321168408.7710616
2023-02-18,327007834.38508093
2023-02-19,315328983.1570423
2023-02-20,286131855.0869458
2023-02-21,325061359.18040776
2023-02-22,272506528.65423405
2023-02-23,332847259.9991002
2023-02-24,262774152.6308686
2023-02-25,227840889.77873334
2023-02-26,359556658.1833338
2023-02-27,299630548.4861114
2023-02-28,293209893.8756949
2023-03-01,363837094.5902782
2023-03-02,308191421.3000004
2023-03-03,359556658.1833338
2023-03-04,325313166.92777824
2023-03-05,331733821.53819484
2023-03-06,282508802.8583337
2023-03-07,353136003.57291716
2023-03-08,284649021.0618059
2023-03-09,288929457.4687504
2023-03-10,291564668.6842239
2023-03-11,357219695.9219277
2023-03-12,348559824.50563854
2023-03-13,339899953.08934945
2023-03-14,316085306.6945542
2023-03-15,318250274.5486265
2023-03-16,290105692.4456867
2023-03-17,318250274.5486265
2023-03-18,350724792.3597108
2023-03-19,320415242.4026988
2023-03-20,333405049.5271326
2023-03-21,313920338.84048194
2023-03-22,344229888.79749393
2023-03-23,398152679.74955547
2023-03-24,377232885.49311894
2023-03-25,337646718.49692744
2023-03-26,335318120.4383279
2023-03-27,344632512.6727259
2023-03-28,312032139.85233283
2023-03-29,342303914.6141264
2023-03-30,360932699.0829224
2023-03-31,328332326.2625294
2023-04-01,326003728.2039299
2023-04-02,346961110.73132545
2023-04-03,305046345.6765345
2023-04-04,377232885.49311894
2023-04-05,323675130.1453304
2023-04-06,375327217.1632722
2023-04-07,338032942.16648775
2023-04-08,349935510.5526316
2023-04-09,347554996.87540287
2023-04-10,292803182.2991408
2023-04-11,366599106.2932332
2023-04-12,380882188.3566059
2023-04-13,338032942.16648775
2023-04-14,333271914.81203014
2023-04-15,376121161.0021483
2023-04-16,295183695.97636956
2023-04-17,368979619.9704619
2023-04-18,395165270.4199787
2023-04-19,330891401.13480145
2023-04-20,319313867.4340018
2023-04-21,351118490.9644334
2023-04-22,360804518.3013832
2023-04-23,355961504.6329083
2023-04-24,341432463.6274834
2023-04-25,302688354.2796839
2023-04-26,314795888.4508713
2023-04-27,314795888.4508713
2023-04-28,355961504.6329083
2023-04-29,331746436.2905336
2023-04-30,358383011.4671458
2023-05-01,440714243.83121973
2023-05-02,312374381.6166337
2023-05-03,341432463.6274834
2023-05-04,351888475.1483047
2023-05-05,283977798.47865146
2023-05-06,355568840.1119249
2023-05-07,331705159.5675005
2023-05-08,326932423.4586156
2023-05-09,360341576.2208098
2023-05-10,405682569.25521636
2023-05-11,360341576.2208098
2023-05-12,336477895.6763853
2023-05-13,346023367.89415514
2023-05-14,415228041.47298616
2023-05-15,350796104.00303996
2023-05-16,365114312.32969475
2023-05-17,381818888.7107919
2023-05-18,344768089.144806
2023-05-19,369469365.7613961
2023-05-20,322669912.76495266
2023-05-21,371932494.8664721
2023-05-22,354690591.1309403
2023-05-23,379321882.1817001
2023-05-24,347301203.81571233
2023-05-25,371932494.8664721
2023-05-26,376858753.07662404
2023-05-27,357153720.2360163
2023-05-28,394100656.8121559
2023-05-29,399026915.0223079
2023-05-30,379321882.1817001
2023-05-31,349729770.9452385
2023-06-01,336187209.4940784
2023-06-02,417687139.0684004
2023-06-03,331093463.8956832
2023-06-04,376937174.2812394
2023-06-05,351468446.2892638
2023-06-06,384577792.6788321
2023-06-07,343827827.89167106
2023-06-08,392218411.07642484
2023-06-09,430421503.0643882
2023-06-10,392218411.07642484
2023-06-11,415140266.2692028
2023-06-12,399859029.4740175
2023-06-13,374390301.4820418
2023-06-14,312388214.96659184
2023-06-15,385148460.1631553
2023-06-16,398160232.4659646
2023-06-17,364329624.47866035
2023-06-18,392955523.5448409
2023-06-19,369534333.3997841
2023-06-20,353920206.636413
2023-06-21,314884889.72798514
2023-06-22,356522561.09697485
2023-06-23,325294307.5702325
2023-06-24,379943751.2420316
2023-06-25,398160232.4659646
2023-06-26,379943751.2420316
2023-06-27,364329624.47866035
2023-06-28,280545974.4417444
2023-06-29,367574940.3012432
2023-06-30,397786579.2301125
2023-07-01,334845664.7949681
2023-07-02,430515854.7363876
2023-07-03,344916211.10459125
2023-07-04,357504393.99162006
2023-07-05,390233669.4978951
2023-07-06,349951484.25940275
2023-07-07,440586401.04601073
2023-07-08,448139310.7782279
2023-07-09,425480581.581576
2023-07-10,387716032.92048943
2023-07-11,339880937.9497796
2023-07-12,382989765.58074266
2023-07-13,321592673.51184636
2023-07-14,369831574.5386234
2023-07-15,369831574.5386234
2023-07-16,415390536.6194682
2023-07-17,364471696.6467593
2023-07-18,434150109.2409926
2023-07-19,396630963.9979439
2023-07-20,343032185.0793028
2023-07-21,300153161.94439
2023-07-22,359111818.75489503
2023-07-23,393951025.0520118
2023-07-24,401990841.889808
2023-07-25,369831574.5386234
2023-07-26,381190141.57452464
2023-07-27,358973121.2673339
2023-07-28,364175630.2712082
2023-07-29,343365594.25571066
2023-07-30,437010756.32545
2023-07-31,366776884.7731455
2023-08-01,361574375.76927114
2023-08-02,400593193.2983291
2023-08-03,392789429.79251754
2023-08-04,314751794.7344015
2023-08-05,400593193.2983291
2023-08-06,426605738.3177011
2023-08-07,379783157.2828315
2023-08-08,325156812.74215025
2023-08-09,421650114.697692
2023-08-10,330756213.4390739
2023-08-11,393261324.6401588
2023-08-12,434931398.7742153
