Date,Hash Rate (TH/s),Unique Addresses
2023-06-30,397786579.2301125,753791.0
2023-07-03,344916211.10459125,655439.0
2023-07-04,357504393.99162006,645583.0
2023-07-05,390233669.4978951,716586.0
2023-07-06,349951484.25940275,709055.0
2023-07-07,440586401.04601073,773326.0
2023-07-10,387716032.92048943,679425.0
2023-07-11,339880937.9497796,686922.0
2023-07-12,382989765.58074266,752660.0
2023-07-13,321592673.5118464,678891.0
2023-07-14,369831574.5386234,760021.0
2023-07-17,364471696.6467593,703876.0
2023-07-18,434150109.2409926,775244.0
2023-07-19,396630963.9979439,745057.0
2023-07-20,343032185.0793028,685150.0
2023-07-21,300153161.94439,657357.0
2023-07-24,401990841.889808,704020.0
2023-07-25,369831574.5386234,734826.0
2023-07-26,381190141.57452464,737067.0
2023-07-27,358973121.2673339,713630.0
2023-07-28,364175630.2712082,720574.0
2023-07-31,366776884.7731455,677346.0
2023-08-01,361574375.7692712,734323.0
2023-08-02,400593193.2983291,698941.0
2023-08-03,392789429.7925176,716303.0
2023-08-04,314751794.7344015,641787.0
2023-08-07,379783157.2828315,676210.0
2023-08-08,325156812.74215025,616643.0
2023-08-09,421650114.697692,735662.0
2023-08-10,330756213.4390739,711323.0
2023-08-11,393261324.6401588,733810.0
2023-08-14,445348917.3077294,723900.0
2023-08-16,424513880.24070114,669749.0
2023-08-17,406283222.8070514,769086.0
2023-08-18,362008769.0396163,783855.0
2023-08-21,429722639.5074582,739287.0
2023-08-22,380936887.228172,633631.0
2023-08-23,392623891.9211836,652036.0
2023-08-24,384329020.9651023,660102.0
2023-08-25,373269193.0236605,706946.0
2023-08-28,326264924.27253294,636935.0
2023-08-29,436863203.68695074,767879.0
2023-08-30,348384580.1554164,665354.0
2023-08-31,398153805.8919045,742110.0
2023-09-01,417508504.7894277,769950.0
2023-09-04,411978590.8187068,730142.0
2023-09-05,342854666.18469554,753968.0
2023-09-06,364419397.2930779,757286.0
2023-09-07,393005453.9397736,785059.0
2023-09-08,358011817.6300677,694292.0
2023-09-11,427999090.2494795,719793.0
2023-09-12,379546363.0514252,784703.0
2023-09-13,395697272.1174433,802393.0
2023-09-14,436074544.7824885,875176.0
2023-09-15,506061817.4019002,1017545.0
2023-09-18,419923635.7164705,852484.0
2023-09-19,385677556.7313763,741822.0
2023-09-20,414558853.7494199,823616.0
2023-09-21,391843300.11931473,763149.0
2023-09-22,366288302.2854464,757791.0
2023-09-25,411719409.5456568,635909.0
2023-09-26,386164411.7117884,624716.0
2023-09-27,445792739.99081457,621414.0
2023-10-04,373280259.4846018,638418.0
2023-10-05,401774935.7811363,687363.0
2023-10-06,455914820.74455184,679001.0
2023-10-10,461613756.0038587,629505.0
2023-10-11,455914820.74455184,607097.0
2023-10-12,470162158.8928191,624747.0
2023-10-13,393226532.892176,662518.0
2023-10-16,416156889.9191482,652765.0
2023-10-17,491483968.444345,645537.0
2023-10-18,439908490.27425945,613906.0
2023-10-19,424739231.98894006,649723.0
2023-10-20,406536122.04655695,705226.0
2023-10-23,476314710.1590258,660705.0
2023-10-24,382265308.7900461,755204.0
2023-10-25,436874638.6171956,812853.0
2023-10-26,455077748.5595787,778594.0
2023-10-27,467213155.1878341,801082.0
2023-10-30,482540025.495944,779588.0
2023-10-31,481286782.8761844,782062.0
2023-11-01,462656326.7648482,796206.0
2023-11-02,447130946.6720681,806444.0
2023-11-03,422290338.52361983,789502.0
2023-11-06,394344654.35661566,725183.0
2023-11-07,412975110.4679518,737771.0
2023-11-08,462656326.7648482,837044.0
2023-11-09,444025870.65351206,832393.0
2023-11-10,478181706.8576284,848433.0
2023-11-13,389037994.7160368,670301.0
2023-11-14,443696225.3786205,745056.0
2023-11-15,475848125.7683755,770577.0
2023-11-16,475848125.7683755,813390.0
2023-11-17,482278505.8463265,760684.0
2023-11-20,533721546.4699348,804527.0
2023-11-21,488708885.9242776,779702.0
2023-11-22,456556985.5345224,777966.0
2023-11-23,472632935.7294,771284.0
2023-11-24,540151926.5478858,841609.0
2023-11-27,439166010.2949663,759608.0
2023-11-28,496595411.6412311,713884.0
2023-11-29,459435210.7701186,646160.0
2023-11-30,452678810.6117344,701654.0
2023-12-01,570915813.3834561,844580.0
2023-12-04,523621012.2747674,763939.0
2023-12-05,466191610.9285027,674260.0
2023-12-06,459435210.7701186,642605.0
2023-12-07,388493009.1070856,647634.0
2023-12-08,456057010.69092655,682971.0
2023-12-11,528635575.20314026,690909.0
2023-12-12,481794448.2864064,688671.0
2023-12-13,498523422.18524,617899.0
2023-12-14,488486037.84593976,573978.0
2023-12-15,545364549.1019738,706714.0
2023-12-18,562093523.0008074,715198.0
2023-12-19,542018754.3222071,684666.0
2023-12-20,485140243.06617314,659068.0
2023-12-21,488486037.84593976,699086.0
2023-12-22,562093523.0008074,772558.0
2023-12-26,497542848.9451839,582914.0
