Date,value,btc_volatility
2022-12-14,41,0.09269251101645529
2022-12-15,42,0.09115961194092291
2022-12-16,42,0.09305584163780002
2022-12-19,39,0.10185596373355345
2022-12-20,37,0.10351277907015531
2022-12-21,38,0.10401406257123608
2022-12-22,39,0.09934509591627892
2022-12-23,36,0.0955389792918051
2022-12-26,36,0.09212582008543216
2022-12-27,37,0.09221806090086379
2022-12-28,38,0.09309302943500392
2022-12-29,36,0.09268777577827947
2023-01-02,37,0.07980547121390687
2023-01-03,36,0.07903532403028427
2023-01-04,38,0.07793659602195209
2023-01-05,36,0.07818403382391971
2023-01-06,37,0.07788728646741973
2023-01-09,38,0.07356685283955831
2023-01-10,36,0.073728110317515
2023-01-11,37,0.07513025054790405
2023-01-12,46,0.07984375842157257
2023-01-13,47,0.0886672348369814
2023-01-16,52,0.10489599375930696
2023-01-17,50,0.10556190459003216
2023-01-18,46,0.10555976830592696
2023-01-19,45,0.10636270830165742
2023-01-20,46,0.10455087914565668
2023-01-25,45,0.1285470812337034
2023-01-26,45,0.1299738705788264
2023-01-27,41,0.12938105042227654
2023-01-30,44,0.13259901437248295
2023-01-31,45,0.13828346302778036
2023-02-01,66,0.13879007981293043
2023-02-02,75,0.14099941128402682
2023-02-03,65,0.1414550595137242
2023-02-06,61,0.14193277154208522
2023-02-07,55,0.1421344854075127
2023-02-08,57,0.14340787733976815
2023-02-09,59,0.1438729043773486
2023-02-10,59,0.15240277026597507
2023-02-13,57,0.130496190175055
2023-02-14,56,0.12054162663394505
2023-02-15,62,0.12201986130088793
2023-02-16,77,0.15182104481414926
2023-02-17,66,0.15540501114531857
2023-02-20,62,0.1410744301525864
2023-02-21,64,0.14276412609664196
2023-02-22,60,0.14365373939747253
2023-02-23,59,0.14376130806040277
2023-02-24,58,0.1435416521518071
2023-02-27,60,0.14657726879432242
2023-02-28,54,0.14659150251530015
2023-03-02,55,0.14037773763395
2023-03-03,63,0.13997423975285095
2023-03-06,53,0.14566524242438925
2023-03-07,50,0.14558865054390105
2023-03-08,56,0.14491802234892248
2023-03-09,61,0.14649593596945545
2023-03-10,77,0.15823266672534675
2023-03-13,92,0.16676135615764565
2023-03-14,100,0.18762061642991434
2023-03-15,83,0.188947208430854
2023-03-16,73,0.18961633489955612
2023-03-17,84,0.1906153369072442
2023-03-20,99,0.18785213582967092
2023-03-21,91,0.18805308675037608
2023-03-22,87,0.18804817345207123
2023-03-23,85,0.1894419432038839
2023-03-24,81,0.19232709550972546
2023-03-27,75,0.19231647946279767
2023-03-28,72,0.19482093054133842
2023-03-29,74,0.19418019904511286
2023-03-30,73,0.19801392035174095
2023-03-31,67,0.1977110789804259
2023-04-03,68,0.19112379697693016
2023-04-04,66,0.19161275792290805
2023-04-05,66,0.19202919190189494
2023-04-06,65,0.19202809499956683
2023-04-07,63,0.19185527099252578
2023-04-10,69,0.18003586625911505
2023-04-11,96,0.1844983368331613
2023-04-12,80,0.17084369805502567
2023-04-13,74,0.14769806516973702
2023-04-14,78,0.14692763207344792
2023-04-17,71,0.11041149556760524
2023-04-18,71,0.11275881558588145
2023-04-19,69,0.11045861576718424
2023-04-20,69,0.12210204121987253
2023-04-21,69,0.12299006431109472
2023-04-24,68,0.11639270777288947
2023-04-25,64,0.11642374736193678
2023-04-26,74,0.11839148594788758
